h5_index,design_id,human_rating_modernity,ai_rating_modernity
989,989,,3.6238530152477324
992,992,,3.544229920487851
994,994,3.75,3.4122736766003072
996,996,,3.7234792778035626
999,999,,3.6123825637623668
1001,1001,,3.837120369076729
1002,1002,,3.638258404796943
1004,1004,,3.727653631940484
1008,1008,,3.2123547345399857
1010,1010,,3.5066549871116877
1011,1011,,3.1842777924612164
1012,1012,,3.5902426186949015
1013,1013,2.888888888888889,3.731567614711821
1014,1014,,3.5209060041233897
1016,1016,,3.449468932580203
1017,1017,2.75,3.4031362868845463
1020,1020,,3.5241963495500386
1021,1021,,3.4430466750636697
1026,1026,,3.4638808695599437
1034,1034,,3.4140780866146088
1036,1036,,3.757613393943757
1038,1038,,3.477324368432164
1039,1039,,3.4418289344757795
1040,1040,,3.5173210809007287
1050,1050,3.8333333333333335,3.4075590851716697
1055,1055,,3.213355338200927
1056,1056,,3.5172436330467463
1060,1060,,3.3613689285703003
1062,1062,,3.3452538922429085
1063,1063,,3.304962533991784
1065,1065,2.0,3.354840151965618
1070,1070,3.1666666666666665,3.3875355692580342
1075,1075,,3.4779655812308192
1076,1076,,3.1936790961772203
1077,1077,,3.43399778008461
1080,1080,,3.665756687987596
1081,1081,,3.484008237719536
1083,1083,3.5,3.266452712006867
1084,1084,3.4444444444444446,3.3309800745919347
1092,1092,,3.4534425688907504
1093,1093,,3.5227741359267384
1095,1095,3.2,3.332168740686029
1096,1096,3.5,3.396113350056112
1098,1098,,3.31066201813519
1100,1100,,3.599264193326235
1101,1101,,3.5239917093422264
1104,1104,3.0,3.397020791657269
1106,1106,2.6,3.434121187776327
1109,1109,,3.330358451232314
1111,1111,3.9,3.755906593753025
1112,1112,,3.197117273695767
1113,1113,,3.5527418376877904
1115,1115,2.642857142857143,3.4666871740482748
1117,1117,,3.49158335570246
1119,1119,,3.1211797343567014
1120,1120,,3.468287476338446
1121,1121,,3.281996524427086
1122,1122,,3.331251911818981
1124,1124,,3.734104244969785
1131,1131,,3.242509193252772
1133,1133,,3.4334424836561084
1137,1137,2.4285714285714284,3.5366166532039642
1139,1139,,3.5787220541387796
1141,1141,,3.4708338445052505
1143,1143,,3.56742016132921
1144,1144,3.888888888888889,3.4099283618852496
1147,1147,,3.1171373585239053
1148,1148,,3.592443658504635
1149,1149,3.0,3.7278158862609416
1151,1151,,3.3888957453891635
1154,1154,3.0,3.19326885137707
1155,1155,,3.6437113201245666
1157,1157,,3.444789184257388
1158,1158,,3.4188188994303346
1161,1161,3.142857142857143,3.5067653749138117
1162,1162,,3.6052018124610186
1164,1164,3.0,3.2404762944206595
1165,1165,3.25,3.3215135214850307
1166,1166,,3.507193697616458
1167,1167,,3.33228069730103
1169,1169,2.7142857142857144,3.7608392857946455
1174,1174,2.5,3.4573211283423007
1175,1175,2.6,3.4090326353907585
1177,1177,,3.3982943845912814
1178,1178,,3.0413818350061774
1180,1180,,3.237143670208752
1181,1181,4.0,3.5359616964124143
1186,1186,4.2,3.6005619410425425
1189,1189,,3.9421779504045844
1191,1191,,3.2276449128985405
1195,1195,,3.5452222716994584
1196,1196,,3.5787914050742984
1199,1199,,3.3991940040141344
1203,1203,2.5454545454545454,3.0256750215776265
1206,1206,,3.8949841106077656
1209,1209,,3.8307075444608927
1210,1210,,3.7090340913273394
1212,1212,2.8,3.370655116159469
1214,1214,4.0,3.58122730627656
1218,1218,,3.336562966927886
1219,1219,,3.4254742953926325
1220,1220,2.333333333333333,3.5392315729986876
1222,1222,,3.621955878799781
1224,1224,,3.4710601097904146
1225,1225,3.75,4.004824194358662
1226,1226,3.3076923076923075,3.4919151277281344
1228,1228,,3.473253484815359
1230,1230,,3.177935973741114
1231,1231,,3.403594388626516
1234,1234,,3.4864064431749284
1235,1235,,3.3489779992960393
1236,1236,,3.5637352522462606
1237,1237,,3.5029570646584034
